image_id,color,color_id
595,Yellow,3
596,Brown,0
597,Brown,0
598,Brown,0
599,Brown,0
600,Brown,0
601,Brown,0
602,Red,2
603,Orange,1
604,Brown,0
605,Orange,1
606,Yellow,3
607,Orange,1
608,Orange,1
609,Brown,0
610,Orange,1
611,Brown,0
612,Brown,0
613,Orange,1
614,Brown,0
615,Brown,0
616,Yellow,3
617,Brown,0
618,Brown,0
619,Orange,1
620,Yellow,3
621,Orange,1
622,Brown,0
623,Orange,1
624,Orange,1
625,Brown,0
626,Orange,1
627,Yellow,3
628,Orange,1
629,Orange,1
630,Orange,1
631,Brown,0
632,Brown,0
633,Yellow,3
634,Orange,1
635,Orange,1
636,Orange,1
637,Brown,0
638,Yellow,3
639,Brown,0
640,Brown,0
641,Orange,1
642,Brown,0
643,Brown,0
644,Brown,0
645,Brown,0
646,Brown,0
647,Brown,0
648,Orange,1
649,Brown,0
650,Orange,1
651,Brown,0
652,Yellow,3
653,Brown,0
654,Brown,0
655,Orange,1
656,Orange,1
657,Brown,0
658,Brown,0
659,Orange,1
660,Yellow,3
661,Yellow,3
662,Brown,0
663,Orange,1
664,Yellow,3
665,Brown,0
666,Brown,0
667,Brown,0
668,Brown,0
669,Yellow,3
670,Orange,1
671,Brown,0
672,Brown,0
673,Orange,1
674,Brown,0
675,Yellow,3
676,Brown,0
677,Brown,0
678,Brown,0
679,Brown,0
680,Brown,0
681,Brown,0
682,Orange,1
683,Brown,0
684,Orange,1
685,Brown,0
686,Brown,0
687,Brown,0
688,Orange,1
689,Brown,0
690,Orange,1
691,Orange,1
692,Brown,0
693,Orange,1
694,Yellow,3
695,Brown,0
696,Yellow,3
697,Brown,0
698,Brown,0
699,Brown,0
700,Orange,1
701,Brown,0
702,Yellow,3
703,Orange,1
704,Brown,0
705,Brown,0
706,Brown,0
707,Orange,1
708,Brown,0
709,Brown,0
710,Brown,0
711,Orange,1
712,Orange,1
713,Brown,0
714,Brown,0
715,Brown,0
716,Yellow,3
717,Brown,0
718,Brown,0
719,Yellow,3
720,Yellow,3
721,Yellow,3
722,Yellow,3
723,Brown,0
724,Yellow,3
725,Brown,0
726,Brown,0
727,Yellow,3
728,Yellow,3
729,Brown,0
730,Orange,1
731,Yellow,3
732,Brown,0
733,Brown,0
734,Brown,0
735,Brown,0
736,Orange,1
737,Brown,0
738,Orange,1
739,Orange,1
740,Orange,1
741,Yellow,3
742,Brown,0
743,Brown,0
744,Orange,1
745,Brown,0
746,Brown,0
747,Brown,0
748,Brown,0
749,Brown,0
750,Brown,0
751,Orange,1
752,Brown,0
753,Yellow,3
754,Yellow,3
755,Brown,0
756,Orange,1
757,Brown,0
758,Orange,1
759,Brown,0
760,Brown,0
761,Brown,0
762,Orange,1
763,Yellow,3
764,Yellow,3
765,Yellow,3
766,Brown,0
767,Yellow,3
768,Orange,1
769,Brown,0
770,Yellow,3
771,Brown,0
772,Brown,0
773,Brown,0
774,Orange,1
775,Yellow,3
776,Brown,0
777,Red,2
778,Yellow,3
779,Orange,1
780,Orange,1
781,Yellow,3
782,Yellow,3
783,Yellow,3
784,Brown,0
785,Yellow,3
786,Brown,0
787,Brown,0
788,Brown,0
789,Yellow,3
790,Orange,1
791,Orange,1
792,Brown,0
793,Yellow,3
794,Brown,0
795,Orange,1
796,Yellow,3
797,Brown,0
798,Yellow,3
799,Orange,1
800,Brown,0
801,Brown,0
802,Brown,0
803,Brown,0
804,Brown,0
805,Brown,0
806,Yellow,3
807,Brown,0
808,Orange,1
809,Brown,0
810,Yellow,3
811,Orange,1
812,Brown,0
813,Brown,0
814,Yellow,3
815,Yellow,3
816,Orange,1
817,Yellow,3
818,Brown,0
819,Yellow,3
820,Brown,0
821,Yellow,3
822,Yellow,3
823,Orange,1
824,Brown,0
825,Yellow,3
826,Orange,1
827,Brown,0
828,Orange,1
829,Brown,0
830,Brown,0
831,Yellow,3
832,Orange,1
833,Brown,0
834,Brown,0
835,Orange,1
836,Orange,1
837,Yellow,3
838,Orange,1
839,Orange,1
840,Brown,0
841,Brown,0
842,Brown,0
843,Brown,0
844,Yellow,3
845,Brown,0
846,Yellow,3
847,Brown,0
848,Brown,0
849,Orange,1
850,Brown,0
851,Orange,1
852,Orange,1
853,Orange,1
854,Orange,1
855,Brown,0
856,Yellow,3
857,Yellow,3
858,Orange,1
859,Orange,1
860,Brown,0
861,Brown,0
862,Brown,0
863,Brown,0
864,Brown,0
865,Brown,0
866,Orange,1
867,Orange,1
868,Brown,0
869,Orange,1
870,Orange,1
871,Brown,0
872,Orange,1
873,Orange,1
874,Orange,1
875,Brown,0
876,Orange,1
877,Orange,1
878,Brown,0
879,Yellow,3
880,Orange,1
881,Orange,1
882,Orange,1
883,Brown,0
884,Brown,0
885,Brown,0
886,Orange,1
887,Brown,0
888,Yellow,3
889,Brown,0
890,Brown,0
891,Yellow,3
892,Brown,0
893,Brown,0
894,Red,2
895,Orange,1
896,Brown,0
897,Orange,1
898,Brown,0
899,Yellow,3
900,Orange,1
901,Brown,0
902,Brown,0
903,Brown,0
904,Brown,0
905,Orange,1
906,Orange,1
907,Brown,0
908,Brown,0
909,Brown,0
910,Yellow,3
911,Yellow,3
912,Brown,0
913,Yellow,3
914,Yellow,3
915,Brown,0
916,Yellow,3
917,Brown,0
918,Orange,1
919,Yellow,3
920,Brown,0
921,Yellow,3
922,Brown,0
923,Brown,0
924,Brown,0
925,Brown,0
926,Orange,1
927,Orange,1
928,Brown,0
929,Yellow,3
930,Yellow,3
931,Brown,0
932,Orange,1
933,Brown,0
934,Orange,1
935,Brown,0
936,Brown,0
937,Brown,0
938,Brown,0
939,Brown,0
940,Brown,0
941,Brown,0
942,Brown,0
943,Orange,1
944,Yellow,3
945,Yellow,3
946,Brown,0
947,Brown,0
948,Orange,1
949,Yellow,3
950,Yellow,3
951,Yellow,3
952,Orange,1
953,Orange,1
954,Orange,1
955,Orange,1
956,Orange,1
957,Orange,1
958,Orange,1
959,Yellow,3
960,Brown,0
961,Orange,1
962,Brown,0
963,Orange,1
964,Brown,0
965,Orange,1
966,Brown,0
967,Brown,0
968,Orange,1
969,Yellow,3
970,Brown,0
971,Brown,0
972,Brown,0
973,Brown,0
974,Brown,0
975,Brown,0
976,Orange,1
977,Yellow,3
978,Brown,0
979,Yellow,3
980,Brown,0
981,Brown,0
982,Orange,1
983,Brown,0
984,Yellow,3
985,Orange,1
986,Orange,1
987,Brown,0
988,Orange,1
989,Brown,0
990,Brown,0
991,Orange,1
992,Yellow,3
993,Orange,1
994,Brown,0
995,Yellow,3
996,Orange,1
997,Brown,0
998,Yellow,3
999,Brown,0
