image_id,dominant_color,secondary_color,detected_colors
157,Orange,Brown,"Orange,Yellow,Brown"
158,Yellow,Orange,"Orange,Yellow"
159,Orange,Yellow,"Orange,Yellow,Brown"
160,Brown,Red,"Red,Brown"
161,Orange,Brown,"Orange,Brown"
162,Orange,Brown,"Orange,Brown"
163,Brown,Orange,"Orange,Brown"
164,Brown,Orange,"Orange,Brown"
165,Brown,Orange,"Red,Orange,Brown"
166,Orange,Brown,"Orange,Yellow,Brown"
167,Brown,Orange,"Orange,Brown"
168,Yellow,Orange,"Orange,Yellow,Brown"
169,Orange,Yellow,"Orange,Yellow,Brown"
170,Brown,Green,"Red,Orange,Green,Brown"
171,Brown,Orange,"Orange,Brown"
172,Brown,Orange,"Orange,Brown"
173,Brown,Orange,"Orange,Brown"
174,Brown,Orange,"Orange,Brown"
175,Brown,Orange,"Orange,Brown"
176,Orange,Yellow,"Orange,Yellow,Brown"
177,Brown,Red,"Red,Brown"
178,Yellow,Orange,"Orange,Yellow,Brown"
179,Brown,Orange,"Orange,Brown"
180,Orange,none,Orange
181,Orange,Brown,"Orange,Yellow,Brown"
182,Orange,Brown,"Orange,Yellow,Brown"
183,Yellow,Orange,"Orange,Yellow,Brown"
184,Blue,Brown,"Blue,Brown"
185,Orange,Yellow,"Orange,Yellow,Brown"
186,Brown,none,Brown
187,Orange,Brown,"Orange,Yellow,Brown"
188,Brown,none,Brown
189,Brown,none,Brown
190,Yellow,Orange,"Orange,Yellow"
191,Brown,none,Brown
192,Orange,Brown,"Orange,Yellow,Brown"
193,Brown,none,Brown
194,Brown,Red,"Red,Orange,Yellow,Brown"
195,Orange,Brown,"Orange,Brown"
196,Yellow,Orange,"Orange,Yellow,Brown"
197,Brown,none,Brown
198,Orange,Brown,"Orange,Yellow,Brown"
199,Orange,Brown,"Orange,Yellow,Brown"
200,Yellow,Orange,"Orange,Yellow,Brown"
201,Brown,Orange,"Orange,Yellow,Brown"
202,Orange,Brown,"Orange,Brown"
203,Orange,Yellow,"Orange,Yellow"
204,Yellow,Brown,"Orange,Yellow,Green,Brown"
205,Brown,Orange,"Orange,Yellow,Brown"
206,Orange,Brown,"Orange,Brown"
207,Orange,Brown,"Orange,Yellow,Brown"
208,Orange,Brown,"Orange,Yellow,Brown"
209,Brown,Orange,"Orange,Yellow,Brown"
210,Orange,Brown,"Orange,Brown"
211,Brown,Red,"Red,Brown"
212,Brown,Yellow,"Orange,Yellow,Brown"
213,Orange,none,Orange
214,Brown,Yellow,"Orange,Yellow,Brown"
215,Brown,Orange,"Orange,Yellow,Brown"
216,Orange,Brown,"Orange,Brown"
217,Orange,Brown,"Orange,Brown"
218,Brown,Orange,"Orange,Yellow,Brown"
219,Brown,Orange,"Orange,Brown"
220,Brown,Red,"Red,Brown"
221,Brown,Orange,"Orange,Brown"
222,Brown,none,Brown
223,Yellow,Orange,"Orange,Yellow"
224,Orange,Yellow,"Orange,Yellow,Brown"
225,Brown,none,Brown
226,Brown,Orange,"Orange,Brown"
227,Orange,Brown,"Orange,Brown"
228,Orange,Yellow,"Orange,Yellow"
229,Blue,Brown,"Red,Blue,Purple,Brown"
230,Brown,none,Brown
231,Yellow,Orange,"Orange,Yellow"
232,Brown,Yellow,"Orange,Yellow,Brown"
233,Brown,Orange,"Orange,Brown"
234,Brown,Orange,"Orange,Brown"
235,Brown,Orange,"Orange,Brown"
236,Orange,Brown,"Red,Orange,Brown"
237,Yellow,Brown,"Orange,Yellow,Brown"
238,Brown,Yellow,"Orange,Yellow,Brown"
239,Yellow,Brown,"Yellow,Brown"
240,Brown,Orange,"Orange,Brown"
241,Brown,Orange,"Orange,Brown"
242,Brown,Orange,"Red,Orange,Brown"
243,Orange,Brown,"Red,Orange,Brown"
244,Orange,Brown,"Orange,Brown"
245,Brown,Orange,"Orange,Brown"
246,Red,Brown,"Red,Orange,Purple,Brown"
247,Orange,Brown,"Red,Orange,Brown"
248,Yellow,Orange,"Orange,Yellow,Brown"
249,Brown,none,Brown
250,Orange,Brown,"Orange,Yellow,Brown"
251,Yellow,Orange,"Orange,Yellow,Brown"
252,Orange,none,Orange
253,Brown,Yellow,"Orange,Yellow,Brown"
254,Brown,Orange,"Orange,Yellow,Brown"
255,Orange,Brown,"Orange,Brown"
256,Brown,Orange,"Orange,Brown"
257,Orange,Brown,"Orange,Yellow,Brown"
258,Brown,Red,"Red,Orange,Brown"
259,Orange,Yellow,"Orange,Yellow,Brown"
260,Brown,Orange,"Orange,Brown"
261,Brown,Yellow,"Orange,Yellow,Brown"
262,Orange,Brown,"Orange,Yellow,Brown"
263,Brown,Orange,"Orange,Brown"
264,Orange,Brown,"Orange,Brown"
265,Orange,Brown,"Orange,Blue,Brown"
266,Brown,Orange,"Orange,Yellow,Brown"
267,Orange,Brown,"Orange,Brown"
268,Orange,Brown,"Orange,Brown"
269,Orange,none,Orange
270,Orange,Brown,"Orange,Brown"
271,Brown,Orange,"Orange,Brown"
272,Brown,none,Brown
273,Orange,Brown,"Orange,Brown"
274,Yellow,Orange,"Orange,Yellow,Brown"
275,Orange,Brown,"Orange,Brown"
276,Brown,Orange,"Orange,Brown"
277,Brown,Red,"Red,Yellow,Brown"
278,Orange,Yellow,"Orange,Yellow,Brown"
279,Orange,Brown,"Orange,Yellow,Brown"
280,Brown,Orange,"Orange,Brown"
281,Brown,Red,"Red,Brown"
282,Brown,Orange,"Orange,Brown"
283,Brown,Orange,"Orange,Yellow,Brown"
284,Brown,Yellow,"Yellow,Brown"
285,Orange,Brown,"Orange,Brown"
286,Orange,Brown,"Orange,Brown"
287,Yellow,Orange,"Orange,Yellow,Brown"
288,Orange,Yellow,"Orange,Yellow,Brown"
289,Orange,Yellow,"Orange,Yellow"
290,Orange,Brown,"Orange,Brown"
291,Brown,Orange,"Orange,Brown"
292,Brown,Orange,"Orange,Yellow,Brown"
293,Brown,Red,"Red,Yellow,Brown"
294,Brown,Orange,"Orange,Brown"
295,Orange,Brown,"Orange,Brown"
296,Orange,Brown,"Orange,Yellow,Brown"
297,Orange,Brown,"Orange,Brown"
298,Orange,Brown,"Orange,Yellow,Brown"
299,Brown,Orange,"Orange,Brown"
300,Orange,Brown,"Orange,Brown"
301,Orange,Brown,"Orange,Blue,Brown"
302,Orange,Brown,"Orange,Brown"
303,Yellow,Orange,"Orange,Yellow"
304,Brown,none,Brown
305,Brown,none,Brown
306,Yellow,none,Yellow
307,Brown,Red,"Red,Brown"
308,Orange,Brown,"Orange,Brown"
309,Brown,Red,"Red,Brown"
310,Yellow,Orange,"Orange,Yellow,Brown"
311,Brown,Blue,"Red,Blue,Brown"
312,Brown,Orange,"Orange,Brown"
313,Orange,Yellow,"Orange,Yellow,Brown"
314,Yellow,none,Yellow
315,Yellow,Orange,"Orange,Yellow,Brown"
316,Brown,Yellow,"Orange,Yellow,Brown"
317,Yellow,none,Yellow
318,Orange,Brown,"Orange,Brown"
319,Orange,Brown,"Orange,Yellow,Brown"
320,Brown,Orange,"Orange,Yellow,Brown"
321,Orange,Yellow,"Orange,Yellow,Brown"
322,Orange,Brown,"Orange,Brown"
323,Brown,Orange,"Orange,Brown"
324,Brown,Orange,"Orange,Yellow,Brown"
325,Yellow,Brown,"Orange,Yellow,Brown"
326,Brown,Red,"Red,Yellow,Brown"
327,Brown,none,Brown
328,Orange,Brown,"Orange,Brown"
329,Orange,Yellow,"Orange,Yellow,Brown"
330,Orange,none,Orange
331,Orange,Yellow,"Orange,Yellow,Brown"
332,Orange,Brown,"Orange,Brown"
333,Brown,Orange,"Orange,Brown"
334,Brown,Orange,"Orange,Brown"
335,Brown,Orange,"Orange,Brown"
336,Brown,Orange,"Orange,Brown"
337,Brown,Orange,"Orange,Brown"
338,Orange,Brown,"Orange,Brown"
339,Orange,Brown,"Orange,Brown"
340,Brown,Orange,"Orange,Brown"
341,Brown,Orange,"Orange,Brown"
342,Orange,Brown,"Red,Orange,Brown"
343,Brown,Red,"Red,Orange,Brown"
344,Orange,Brown,"Orange,Brown"
345,Brown,Orange,"Orange,Yellow,Brown"
346,Orange,Brown,"Orange,Yellow,Brown"
347,Orange,Brown,"Orange,Brown"
348,Brown,Orange,"Orange,Brown"
349,Brown,Orange,"Orange,Brown"
350,Brown,Blue,"Cyan,Blue,Brown"
351,Orange,Yellow,"Orange,Yellow,Brown"
352,Orange,Brown,"Orange,Yellow,Brown"
353,Orange,Brown,"Orange,Brown"
354,Brown,Yellow,"Orange,Yellow,Brown"
355,Brown,Orange,"Orange,Yellow,Brown"
356,Orange,Brown,"Orange,Yellow,Brown"
357,Yellow,Orange,"Orange,Yellow,Brown"
358,Brown,Orange,"Orange,Brown"
359,Orange,none,Orange
360,Brown,Orange,"Orange,Brown"
361,Orange,Brown,"Orange,Brown"
362,Brown,Orange,"Orange,Brown"
363,Orange,none,Orange
364,Orange,Brown,"Orange,Yellow,Brown"
365,Brown,Orange,"Orange,Brown"
366,Brown,Orange,"Orange,Brown"
367,Brown,Orange,"Orange,Yellow,Brown"
368,Brown,none,Brown
369,Brown,none,Brown
370,Brown,Red,"Red,Orange,Brown"
371,Yellow,Brown,"Orange,Yellow,Brown"
372,Yellow,Orange,"Orange,Yellow"
373,Yellow,Orange,"Orange,Yellow"
374,Orange,Brown,"Red,Orange,Yellow,Brown"
375,Orange,Brown,"Orange,Brown"
376,Yellow,Brown,"Orange,Yellow,Brown"
377,Yellow,none,Yellow
378,Brown,Orange,"Orange,Brown"
379,Yellow,Brown,"Yellow,Brown"
380,Yellow,Brown,"Yellow,Brown"
381,Yellow,Brown,"Yellow,Brown"
382,Yellow,Orange,"Orange,Yellow"
383,Orange,Brown,"Orange,Yellow,Brown"
384,Brown,Red,"Red,Orange,Brown"
385,Brown,Orange,"Orange,Yellow,Brown"
386,Yellow,none,Yellow
387,Brown,none,Brown
388,Yellow,Orange,"Orange,Yellow,Brown"
389,Brown,Orange,"Orange,Brown"
390,Orange,Yellow,"Orange,Yellow"
391,Brown,Orange,"Orange,Brown"
392,Yellow,Orange,"Orange,Yellow,Brown"
393,Green,Yellow,"Yellow,Green,Brown"
394,Brown,Orange,"Orange,Yellow,Brown"
395,Brown,Orange,"Orange,Brown"
396,Orange,Yellow,"Orange,Yellow,Brown"
397,Brown,Orange,"Orange,Brown"
398,Orange,Brown,"Orange,Brown"
399,Brown,Orange,"Orange,Yellow,Brown"
400,Orange,Brown,"Orange,Brown"
401,Yellow,Orange,"Orange,Yellow"
402,Brown,Orange,"Orange,Brown"
403,Yellow,Orange,"Orange,Yellow,Brown"
404,Brown,Orange,"Orange,Brown"
405,Brown,Orange,"Orange,Brown"
406,Orange,Brown,"Orange,Brown"
407,Brown,Orange,"Orange,Brown"
408,Orange,Red,"Red,Orange,Brown"
409,Orange,Brown,"Orange,Brown"
410,Yellow,none,Yellow
411,Orange,Brown,"Orange,Brown"
412,Brown,Purple,"Orange,Purple,Brown"
413,Brown,Orange,"Orange,Brown"
414,Brown,Orange,"Orange,Yellow,Brown"
415,Brown,Orange,"Orange,Brown"
416,Brown,Orange,"Orange,Brown"
417,Yellow,Orange,"Orange,Yellow"
418,Yellow,Orange,"Orange,Yellow,Brown"
419,Brown,Orange,"Orange,Brown"
420,Orange,Brown,"Orange,Brown"
421,Orange,Brown,"Orange,Brown"
422,Orange,Brown,"Orange,Brown"
423,Red,Orange,"Red,Orange,Brown"
424,Yellow,none,Yellow
425,Brown,Orange,"Red,Orange,Yellow,Brown"
426,Orange,Yellow,"Orange,Yellow"
427,Brown,none,Brown
428,Brown,Red,"Red,Brown"
429,Brown,Yellow,"Orange,Yellow,Brown"
430,Brown,none,Brown
431,Brown,Orange,"Orange,Brown"
432,Brown,Orange,"Orange,Brown"
433,Yellow,Orange,"Orange,Yellow,Brown"
434,Brown,Orange,"Orange,Brown"
435,Brown,Yellow,"Yellow,Brown"
436,Orange,Yellow,"Orange,Yellow,Brown"
437,Brown,Orange,"Orange,Brown"
438,Yellow,Orange,"Orange,Yellow"
439,Brown,Orange,"Orange,Brown"
440,Yellow,Brown,"Yellow,Brown"
441,Brown,Orange,"Red,Orange,Yellow,Brown"
442,Brown,none,Brown
443,Orange,Brown,"Orange,Brown"
444,Brown,Green,"Orange,Green,Brown"
445,Brown,Orange,"Red,Orange,Brown"
446,Brown,Orange,"Orange,Brown"
447,Yellow,Green,"Orange,Yellow,Green,Brown"
448,Orange,Yellow,"Orange,Yellow,Brown"
449,Brown,none,Brown
450,Orange,Yellow,"Orange,Yellow,Brown"
451,Orange,Brown,"Orange,Yellow,Brown"
452,Orange,Yellow,"Orange,Yellow,Brown"
453,Orange,none,Orange
454,Orange,Brown,"Orange,Yellow,Brown"
455,Brown,Orange,"Orange,Brown"
456,Orange,Brown,"Orange,Brown"
457,Brown,Orange,"Orange,Brown"
458,Brown,Orange,"Orange,Yellow,Brown"
459,Orange,Brown,"Orange,Brown"
460,Brown,Orange,"Red,Orange,Brown"
461,Yellow,Brown,"Yellow,Brown"
462,Orange,Yellow,"Orange,Yellow"
463,Brown,none,Brown
464,Brown,Orange,"Orange,Brown"
465,Brown,Orange,"Orange,Brown"
466,Brown,Orange,"Orange,Brown"
467,Brown,none,Brown
468,Brown,Orange,"Orange,Brown"
469,Brown,Yellow,"Yellow,Brown"
470,Orange,Brown,"Orange,Brown"
471,Yellow,Orange,"Orange,Yellow"
472,Orange,Yellow,"Orange,Yellow,Brown"
473,Yellow,Brown,"Yellow,Brown"
474,Brown,Orange,"Orange,Yellow,Brown"
475,Yellow,none,Yellow
476,Brown,Yellow,"Orange,Yellow,Brown"
477,Orange,Yellow,"Orange,Yellow,Brown"
478,Orange,Yellow,"Orange,Yellow,Brown"
479,Brown,Orange,"Orange,Brown"
480,Orange,Brown,"Orange,Brown"
481,Brown,Yellow,"Orange,Yellow,Brown"
482,Brown,Orange,"Orange,Yellow,Brown"
483,Orange,Brown,"Orange,Yellow,Brown"
484,Red,Brown,"Red,Yellow,Brown"
485,Brown,Yellow,"Red,Yellow,Green,Brown"
486,Brown,Orange,"Orange,Yellow,Brown"
487,Yellow,Orange,"Orange,Yellow"
488,Yellow,Orange,"Orange,Yellow"
489,Orange,none,Orange
490,Brown,Orange,"Orange,Brown"
491,Yellow,Orange,"Orange,Yellow,Brown"
492,Brown,Yellow,"Orange,Yellow,Brown"
493,Brown,Orange,"Orange,Yellow,Brown"
494,Orange,Yellow,"Orange,Yellow,Brown"
495,Yellow,Orange,"Red,Orange,Yellow,Brown"
496,Yellow,Orange,"Orange,Yellow"
497,Yellow,Brown,"Orange,Yellow,Brown"
498,Brown,Orange,"Orange,Brown"
499,Brown,none,Brown
500,Orange,Brown,"Orange,Yellow,Brown"
501,Brown,none,Brown
502,Brown,Orange,"Orange,Brown"
503,Brown,none,Brown
504,Brown,Orange,"Orange,Brown"
505,Brown,Orange,"Orange,Brown"
506,Yellow,Orange,"Orange,Yellow,Brown"
507,Orange,Brown,"Orange,Brown"
508,Brown,Orange,"Orange,Brown"
509,Brown,Orange,"Orange,Brown"
510,Yellow,Brown,"Orange,Yellow,Brown"
511,Brown,Orange,"Orange,Brown"
512,Brown,none,Brown
513,Brown,Orange,"Orange,Brown"
514,Orange,Brown,"Orange,Brown"
515,Brown,none,Brown
516,Yellow,Orange,"Orange,Yellow,Brown"
517,Brown,Orange,"Orange,Brown"
518,Orange,Yellow,"Orange,Yellow"
519,Orange,Brown,"Orange,Brown"
520,Brown,Cyan,"Cyan,Blue,Brown"
521,Orange,Yellow,"Orange,Yellow,Brown"
522,Orange,none,Orange
523,Brown,Yellow,"Orange,Yellow,Brown"
524,Orange,Brown,"Orange,Yellow,Brown"
525,Brown,Orange,"Orange,Brown"
526,Orange,Red,"Red,Orange,Brown"
527,Brown,Orange,"Orange,Brown"
528,Yellow,Orange,"Orange,Yellow"
529,Orange,Yellow,"Orange,Yellow,Brown"
530,Yellow,Orange,"Orange,Yellow,Brown"
531,Brown,Orange,"Orange,Yellow,Brown"
532,Brown,Orange,"Orange,Brown"
533,Orange,Brown,"Orange,Brown"
534,Yellow,Orange,"Orange,Yellow,Green,Brown"
535,Yellow,Orange,"Orange,Yellow,Brown"
536,Yellow,Brown,"Yellow,Brown"
537,Brown,none,Brown
538,Yellow,Orange,"Orange,Yellow,Brown"
539,Brown,Orange,"Orange,Brown"
540,Orange,Brown,"Orange,Yellow,Brown"
541,Brown,Blue,"Blue,Brown"
542,Brown,Orange,"Red,Orange,Brown"
543,Orange,Yellow,"Orange,Yellow,Brown"
544,Yellow,Orange,"Orange,Yellow"
545,Orange,Brown,"Orange,Yellow,Brown"
546,Yellow,none,Yellow
547,Brown,Orange,"Orange,Yellow,Brown"
548,Orange,Brown,"Orange,Brown"
549,Brown,Orange,"Orange,Yellow,Brown"
550,Brown,Orange,"Orange,Brown"
551,Brown,Yellow,"Orange,Yellow,Brown"
552,Brown,Yellow,"Orange,Yellow,Brown"
553,Yellow,none,Yellow
554,Brown,Orange,"Orange,Brown"
555,Orange,Yellow,"Orange,Yellow"
556,Brown,Orange,"Orange,Brown"
557,Brown,Orange,"Orange,Yellow,Brown"
558,Brown,Orange,"Orange,Yellow,Brown"
559,Brown,none,Brown
560,Orange,Yellow,"Orange,Yellow,Brown"
561,Brown,Orange,"Orange,Brown"
562,Brown,Orange,"Orange,Brown"
563,Yellow,Orange,"Orange,Yellow"
564,Brown,none,Brown
565,Orange,none,Orange
566,Brown,Orange,"Orange,Brown"
567,Yellow,Orange,"Orange,Yellow"
568,Brown,Orange,"Orange,Yellow,Brown"
569,Yellow,Orange,"Orange,Yellow,Brown"
570,Brown,Orange,"Orange,Brown"
571,Blue,Brown,"Orange,Blue,Brown"
572,Brown,Orange,"Orange,Brown"
573,Orange,none,Orange
574,Orange,Brown,"Orange,Yellow,Brown"
575,Orange,Brown,"Orange,Brown"
576,Yellow,Brown,"Orange,Yellow,Brown"
577,Brown,Blue,"Blue,Brown"
578,Orange,Brown,"Orange,Brown"
579,Yellow,Brown,"Orange,Yellow,Brown"
580,Orange,Brown,"Orange,Yellow,Brown"
581,Orange,Yellow,"Orange,Yellow,Brown"
582,Green,Brown,"Green,Brown"
583,Brown,Orange,"Orange,Brown"
584,Yellow,Orange,"Orange,Yellow"
585,Brown,Yellow,"Yellow,Brown"
586,Orange,none,Orange
587,Brown,Orange,"Orange,Yellow,Brown"
588,Brown,Yellow,"Orange,Yellow,Brown"
589,Brown,none,Brown
590,Yellow,Orange,"Orange,Yellow,Brown"
591,Brown,Orange,"Orange,Brown"
592,Orange,Yellow,"Orange,Yellow,Brown"
593,Yellow,Brown,"Yellow,Brown"
594,Brown,none,Brown
595,Yellow,Orange,"Orange,Yellow"
596,Brown,Orange,"Orange,Brown"
597,Brown,Orange,"Orange,Yellow,Brown"
598,Brown,none,Brown
599,Brown,Yellow,"Yellow,Brown"
600,Brown,Orange,"Orange,Brown"
601,Brown,Yellow,"Orange,Yellow,Brown"
602,Red,Brown,"Red,Brown"
603,Orange,Brown,"Orange,Brown"
604,Brown,Orange,"Orange,Brown"
605,Orange,Yellow,"Orange,Yellow,Brown"
606,Yellow,none,Yellow
607,Orange,Yellow,"Orange,Yellow"
608,Orange,Brown,"Orange,Brown"
609,Brown,Yellow,"Orange,Yellow,Brown"
610,Orange,Brown,"Orange,Brown"
611,Brown,none,Brown
612,Brown,Orange,"Red,Orange,Brown"
613,Orange,Brown,"Orange,Yellow,Brown"
614,Brown,Yellow,"Orange,Yellow,Brown"
615,Brown,Orange,"Orange,Brown"
616,Yellow,Orange,"Orange,Yellow,Brown"
617,Brown,Orange,"Orange,Yellow,Brown"
618,Brown,Orange,"Orange,Yellow,Brown"
619,Orange,Brown,"Orange,Brown"
620,Yellow,none,Yellow
621,Orange,Brown,"Orange,Brown"
622,Brown,Orange,"Orange,Brown"
623,Orange,Yellow,"Orange,Yellow,Brown"
624,Orange,Brown,"Orange,Brown"
625,Brown,Orange,"Orange,Brown"
626,Orange,Cyan,"Orange,Cyan,Brown"
627,Yellow,Orange,"Orange,Yellow,Brown"
628,Orange,Yellow,"Orange,Yellow"
629,Orange,Brown,"Orange,Brown"
630,Cyan,Orange,"Orange,Cyan,Blue,Brown"
631,Brown,none,Brown
632,Brown,Orange,"Orange,Brown"
633,Yellow,Orange,"Orange,Yellow"
634,Orange,Yellow,"Orange,Yellow,Brown"
635,Orange,Brown,"Orange,Yellow,Brown"
636,Orange,Brown,"Orange,Brown"
637,Brown,none,Brown
638,Yellow,Brown,"Orange,Yellow,Brown"
639,Brown,Orange,"Orange,Brown"
640,Brown,Orange,"Orange,Brown"
641,Orange,Brown,"Orange,Yellow,Brown"
642,Brown,Orange,"Orange,Brown"
643,Brown,Yellow,"Yellow,Brown"
644,Brown,Orange,"Orange,Blue,Brown"
645,Brown,Orange,"Orange,Brown"
646,Brown,Orange,"Orange,Yellow,Brown"
