image_id,color,color_id,color_percentage
480,Orange,1,52.31
808,Orange,1,52.08
451,Orange,1,52.0
297,Orange,1,51.56
134,Orange,1,51.54
780,Orange,1,51.44
832,Orange,1,50.87
298,Orange,1,50.75
97,Orange,1,50.61
986,Orange,1,50.52
673,Orange,1,50.35
560,Orange,1,50.15
581,Orange,1,50.06
849,Orange,1,49.83
270,Orange,1,49.75
712,Orange,1,49.46
876,Orange,1,49.44
347,Orange,1,49.14
443,Orange,1,49.1
161,Orange,1,49.05
144,Orange,1,48.69
700,Orange,1,48.58
795,Orange,1,48.53
952,Orange,1,48.37
823,Orange,1,47.93
828,Orange,1,47.91
448,Orange,1,47.71
744,Orange,1,47.53
328,Orange,1,47.52
185,Orange,1,47.16
137,Orange,1,46.94
839,Orange,1,46.84
605,Orange,1,46.68
918,Orange,1,46.49
37,Orange,1,46.25
383,Orange,1,46.05
670,Orange,1,45.84
420,Orange,1,45.57
105,Orange,1,45.41
18,Orange,1,45.39
59,Orange,1,45.26
92,Orange,1,45.07
199,Orange,1,45.03
608,Orange,1,44.67
976,Orange,1,44.6
452,Orange,1,44.37
624,Orange,1,44.22
934,Orange,1,44.05
524,Orange,1,43.54
663,Orange,1,42.91
592,Orange,1,42.85
406,Orange,1,42.61
996,Orange,1,41.94
275,Orange,1,41.7
816,Orange,1,41.68
157,Orange,1,41.59
811,Orange,1,41.58
150,Orange,1,41.49
834,Orange,1,41.49
339,Orange,1,41.21
12,Orange,1,41.06
521,Orange,1,40.94
85,Orange,1,40.92
396,Orange,1,40.91
140,Orange,1,40.49
400,Orange,1,40.42
545,Orange,1,40.31
472,Orange,1,40.24
159,Orange,1,39.89
98,Orange,1,39.74
210,Orange,1,39.57
573,Orange,1,39.28
494,Orange,1,39.08
112,Orange,1,38.81
111,Orange,1,38.74
809,Orange,1,38.32
319,Orange,1,38.26
169,Orange,1,38.19
956,Orange,1,38.12
881,Orange,1,38.02
610,Orange,1,37.95
535,Orange,1,37.92
932,Orange,1,37.85
321,Orange,1,37.66
302,Orange,1,37.57
916,Orange,1,37.54
459,Orange,1,37.51
482,Orange,1,37.49
694,Orange,1,36.47
691,Orange,1,35.92
107,Orange,1,35.77
216,Orange,1,35.73
217,Orange,1,35.62
288,Orange,1,35.58
246,Red,2,37.15
423,Red,2,25.79
146,Red,2,21.03
8,Red,2,20.22
229,Red,2,17.1
132,Red,2,14.78
526,Red,2,14.71
138,Red,2,14.19
705,Red,2,13.91
117,Red,2,13.25
777,Red,2,11.68
7,Red,2,11.05
194,Red,2,10.37
408,Red,2,9.77
756,Red,2,9.48
103,Red,2,9.28
81,Red,2,8.1
95,Red,2,8.09
428,Red,2,7.8
711,Red,2,7.66
22,Red,2,7.63
714,Red,2,7.6
602,Red,2,7.32
3,Red,2,7.05
309,Red,2,7.03
26,Red,2,7.03
220,Red,2,6.95
706,Red,2,6.73
236,Red,2,6.58
42,Red,2,6.57
612,Red,2,6.38
659,Red,2,6.11
326,Red,2,6.05
177,Red,2,5.88
277,Red,2,5.87
243,Red,2,5.85
772,Red,2,5.77
788,Red,2,5.62
242,Red,2,5.03
716,Yellow,3,94.09
783,Yellow,3,93.42
764,Yellow,3,92.21
317,Yellow,3,90.69
817,Yellow,3,88.43
798,Yellow,3,88.3
567,Yellow,3,86.62
754,Yellow,3,86.49
377,Yellow,3,85.93
546,Yellow,3,85.66
306,Yellow,3,85.47
190,Yellow,3,84.83
223,Yellow,3,84.73
929,Yellow,3,84.58
911,Yellow,3,84.44
563,Yellow,3,83.62
984,Yellow,3,83.32
584,Yellow,3,83.1
620,Yellow,3,82.38
731,Yellow,3,82.22
661,Yellow,3,82.16
844,Yellow,3,81.37
819,Yellow,3,80.47
93,Yellow,3,80.25
104,Yellow,3,79.59
231,Yellow,3,79.52
606,Yellow,3,78.3
487,Yellow,3,77.83
856,Yellow,3,77.76
149,Yellow,3,77.68
314,Yellow,3,76.73
473,Yellow,3,76.01
528,Yellow,3,76.0
373,Yellow,3,75.98
633,Yellow,3,75.88
806,Yellow,3,74.25
31,Yellow,3,72.98
930,Yellow,3,72.29
379,Yellow,3,71.91
142,Yellow,3,71.59
576,Yellow,3,71.52
372,Yellow,3,70.0
438,Yellow,3,68.72
392,Yellow,3,68.59
51,Yellow,3,67.85
595,Yellow,3,67.73
675,Yellow,3,67.68
998,Yellow,3,67.64
538,Yellow,3,67.22
471,Yellow,3,66.97
16,Yellow,3,66.24
488,Yellow,3,64.51
158,Yellow,3,64.33
32,Yellow,3,64.19
785,Yellow,3,63.4
424,Yellow,3,62.97
74,Yellow,3,62.76
310,Yellow,3,61.49
825,Yellow,3,61.07
27,Yellow,3,60.8
616,Yellow,3,59.56
417,Yellow,3,59.38
775,Yellow,3,59.3
702,Yellow,3,58.96
778,Yellow,3,58.95
669,Yellow,3,56.86
753,Yellow,3,56.69
921,Yellow,3,56.58
593,Yellow,3,56.18
879,Yellow,3,55.49
544,Yellow,3,55.27
722,Yellow,3,54.45
506,Yellow,3,53.99
274,Yellow,3,53.68
530,Yellow,3,53.08
315,Yellow,3,52.96
200,Yellow,3,52.43
178,Yellow,3,51.82
461,Yellow,3,51.02
11,Yellow,3,50.51
388,Yellow,3,48.71
793,Yellow,3,48.37
495,Yellow,3,48.34
382,Yellow,3,47.56
821,Yellow,3,47.3
781,Yellow,3,47.15
55,Yellow,3,46.62
796,Yellow,3,46.2
381,Yellow,3,45.73
403,Yellow,3,43.86
914,Yellow,3,43.73
325,Yellow,3,42.46
380,Yellow,3,42.45
287,Yellow,3,42.28
949,Yellow,3,42.14
950,Yellow,3,42.04
401,Yellow,3,41.61
510,Yellow,3,40.51
237,Yellow,3,40.39
491,Yellow,3,39.82
536,Yellow,3,39.45
248,Yellow,3,38.95
579,Yellow,3,38.3
846,Yellow,3,38.21
728,Yellow,3,37.0
48,Yellow,3,36.66
977,Yellow,3,36.52
951,Yellow,3,36.19
145,Yellow,3,33.93
475,Yellow,3,33.04
433,Yellow,3,32.5
553,Yellow,3,32.5
765,Yellow,3,31.87
944,Yellow,3,31.57
204,Yellow,3,31.12
38,Yellow,3,30.42
534,Yellow,3,29.34
569,Yellow,3,29.15
196,Yellow,3,29.02
496,Yellow,3,28.81
410,Yellow,3,28.23
46,Yellow,3,27.84
139,Yellow,3,27.82
516,Yellow,3,27.72
590,Yellow,3,27.6
357,Yellow,3,27.54
945,Yellow,3,27.22
919,Yellow,3,26.48
588,Yellow,3,25.99
815,Yellow,3,25.8
727,Yellow,3,25.61
68,Yellow,3,25.38
627,Yellow,3,24.67
1,Yellow,3,24.44
992,Yellow,3,24.43
376,Yellow,3,24.29
418,Yellow,3,23.58
794,Yellow,3,23.5
995,Yellow,3,23.23
660,Yellow,3,23.01
183,Yellow,3,22.98
955,Yellow,3,22.89
141,Yellow,3,22.7
239,Yellow,3,22.66
447,Yellow,3,22.55
83,Yellow,3,22.54
724,Yellow,3,22.45
664,Yellow,3,22.35
251,Yellow,3,22.34
33,Yellow,3,22.16
481,Yellow,3,22.12
652,Yellow,3,22.06
259,Yellow,3,21.65
789,Yellow,3,21.46
782,Yellow,3,21.36
386,Yellow,3,21.17
738,Yellow,3,21.06
917,Yellow,3,20.44
649,Yellow,3,20.06
857,Yellow,3,19.96
440,Yellow,3,19.69
96,Yellow,3,18.64
824,Yellow,3,18.15
947,Yellow,3,18.06
662,Yellow,3,17.8
50,Yellow,3,17.76
891,Yellow,3,17.52
278,Yellow,3,17.2
61,Yellow,3,17.18
127,Yellow,3,17.09
540,Yellow,3,16.96
385,Yellow,3,16.78
435,Yellow,3,16.36
303,Yellow,3,16.33
910,Yellow,3,16.28
767,Yellow,3,16.26
316,Yellow,3,15.88
803,Yellow,3,15.77
450,Yellow,3,15.61
205,Yellow,3,15.37
4,Yellow,3,15.0
837,Yellow,3,14.99
913,Yellow,3,14.66
623,Yellow,3,14.5
770,Yellow,3,14.28
899,Yellow,3,13.81
19,Yellow,3,13.72
549,Yellow,3,13.45
429,Yellow,3,13.31
436,Yellow,3,13.13
741,Yellow,3,13.04
965,Yellow,3,13.04
638,Yellow,3,12.94
888,Yellow,3,12.78
802,Yellow,3,12.7
829,Yellow,3,12.69
121,Yellow,3,12.69
394,Yellow,3,12.57
696,Yellow,3,12.53
28,Yellow,3,12.25
